title,price,rating
"Oraimo Strong Bass, HD Sound Earphone + Mic",KSh 299,4.5 out of 5
"Tecno Pop 6 6.1"", 2GB RAM+32GB, 5MP, 4G (Dual Sim) 5000MAh -Lime Green","KSh 8,949",4.1 out of 5
Not found,error,error
"Itel A16 Plus, 5.0'', 1 GB + 8 GB, (Dual SIM), 2050 MAh - Phantom Black","KSh 4,789",4.4 out of 5
"Itel A58, 6.6"", 16GB + 1GB RAM (Dual SIM), 4000mAh, Starry Black","KSh 8,438",0 out of 5
"Itel 2160, 1.8"", 32 MB + 32 MB,  (Dual SIM) - Black","KSh 1,185",4.5 out of 5
"Oppo A16k, 6.52"", 32GB + 3GB RAM (Dual SIM), 4230mAh - Blue","KSh 12,799",4.9 out of 5
"XIAOMI Redmi A1+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Light Blue","KSh 10,699",4.8 out of 5
"Oppo A16k, 6.52"", 32GB + 3GB RAM (Dual SIM), 4230mAh - Black","KSh 12,799",4.8 out of 5
Qwen Bluetooth Headsets True Wireless Stereo Earbuds With Power Bank,KSh 690,4.5 out of 5
Not found,error,error
"XIAOMI Redmi 10C, 6.53'', [4GB RAM + 64GB], 4G, DUAL SIM + 8 FREE GIFTS","KSh 17,499",3.9 out of 5
RichRipple Fast Charging 10000mAh Power Bank Mirror Black.,KSh 746,4 out of 5
VICOM JH16 BLUETOOTH EARPHONE HEADSET-TRUE WIRELESS STEREO GAMING EARBUDS,KSh 899,4.6 out of 5
Generic Card Wallet Flip Cover For Infinix Hot 12i Case,KSh 918,0 out of 5
"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh, 4G, Polar Black","KSh 9,499",4.6 out of 5
"XIAOMI Redmi A1+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Black","KSh 10,699",4.6 out of 5
"XIAOMI Redmi A1+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Light Blue","KSh 10,699",4.8 out of 5
"XIAOMI Redmi 10C 6.71'', 4GB+128GB, 50MP+2MP Camera, 4G, Dual SIM - Blue","KSh 16,599",4.5 out of 5
"Infinix Smart 6, 6.6"", 2GB RAM, 32GB, 5000mAh,Polar Black","KSh 9,999",4.3 out of 5
"Tecno Spark 8C, 6.6"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Magnet Black","KSh 11,949",4.5 out of 5
"XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Graphite Grey","KSh 12,999",4.2 out of 5
"Oppo A16k, 6.52"", 32GB + 3GB RAM (Dual SIM), 4230mAh - Blue","KSh 12,799",4.9 out of 5
"Tecno Pop 6 6.1"", 2GB RAM+32GB, 5MP, 4G (Dual Sim) 5000MAh -Lime Green","KSh 8,949",4.1 out of 5
"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, Eco Black","KSh 21,399",4.7 out of 5
"Tecno Spark 8C, 6.6"", 64GB + 3GB RAM (Dual SIM), 5000mAh, CYAN","KSh 11,949",4.2 out of 5
"Samsung Galaxy A13, 6.6"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Blue","KSh 21,695",4.3 out of 5
"Tecno Camon 18, 6.8"", 128GB + 4GB RAM (Dual SIM), 4G, 5000mAh, Dusk Grey","KSh 17,999",4.8 out of 5
"Infinix Hot 20i, 6.6"", 64GB + 3GB RAM (Dual SIM), 5000mAh, 4G - Sunset Gold","KSh 12,499",0 out of 5
"Samsung Galaxy A13, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 19,295",4.4 out of 5
Not found,error,error
"XIAOMI Redmi 10C 6.71'', 3GB+64GB, 50MP+2MP Camera, 4G, 5000MAH Battery Dual SIM - Grey","KSh 13,999",5 out of 5
"XIAOMI Redmi 9A, 6.53"", 2GB+32GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Grey","KSh 9,999",4.3 out of 5
"XIAOMI Redmi 10C 6.71'', 4GB+128GB, 50MP+2MP Camera, 4G, Dual SIM - Grey","KSh 16,999",4.4 out of 5
"Infinix Hot 20i, 6.6"", 64GB + 3GB RAM (Dual SIM), 5000mAh, 4G - Energy Green","KSh 12,499",0 out of 5
XIAOMI Redmi 10 6.5'' Inches 4+128GB 50MP Rear Camera 4G Smartphone - Grey,"KSh 18,999",4.4 out of 5
Not found,error,error
"XIAOMI Redmi 9C 6.53'', 4GB+128GB, 13MP+2MP+2MP Camera, 4G, Dual SIM - Lavender Purple","KSh 15,099",4.8 out of 5
"Tecno Pop 6 6.1"", 2GB RAM+32GB, 5MP, 4G (Dual Sim) 5000MAh -Deep Sea","KSh 8,949",3 out of 5
"XIAOMI Redmi 9A 6.53"", 2GB RAM+32GB, 5000mAh, Dual SIM, 4G LTE - Glacial Blue","KSh 9,999",4.5 out of 5
"Realme C30s 6.5'' Display, 4GB RAM + 64GB (Dual Sim ) 5000mAh, Black","KSh 11,499",0 out of 5
"Samsung Galaxy A13, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue","KSh 19,295",4.5 out of 5
"Tecno Spark 9, 6.6"" ,4GB RAM+64GB,13MP,Dual SIM,5000mAh,Black","KSh 14,099",0 out of 5
"Samsung Galaxy A13, 6.6"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 21,695",4.3 out of 5
"Tecno CAMON 18 Premier, 6.7"", 256GB + 8GB RAM (Dual SIM), 4750mAh, Polar Night","KSh 28,499",4.7 out of 5
Oppo A3S 64GB + 4GB RAM - 4G LTE Dual SIM - 6.2-inch Display - Face Unlock Pink,"KSh 11,590",0 out of 5
"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh, Quartz Cyan","KSh 9,995",4.7 out of 5
"XIAOMI Redmi 9C 6.53'', 4GB+128GB, 13MP+2MP+2MP Camera, 4G, Dual SIM - Grey","KSh 15,099",4.4 out of 5
